version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 972794921841 eni-02c8133124e8480ab 65.49.20.78 10.192.10.41 42163 5555 6 1 40 1633688693 1633688694 REJECT OK
2 972794921841 eni-02c8133124e8480ab 89.248.165.43 10.192.10.41 55346 9254 6 1 40 1633688693 1633688694 REJECT OK
2 972794921841 eni-00717e575f7327ff3 10.192.11.208 10.192.10.231 34216 5000 6 5 407 1633688635 1633688652 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 3.81.145.168 10.192.10.231 35638 22 6 5 548 1633688635 1633688652 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 54.239.30.177 10.192.10.231 443 46898 6 1 40 1633688635 1633688652 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 3.81.145.168 10.192.10.231 35738 22 6 19 2282 1633688635 1633688652 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 3.81.145.168 22 35748 6 25 3277 1633688635 1633688652 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 3.81.145.168 10.192.10.231 35676 22 6 22 2518 1633688635 1633688652 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 3.81.145.168 10.192.10.231 35706 22 6 20 2414 1633688635 1633688652 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 3.81.145.168 22 35618 6 4 384 1633688635 1633688652 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 162.142.125.150 8018 46818 6 1 40 1633688635 1633688652 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 3.81.145.168 10.192.10.231 35698 22 6 20 2414 1633688635 1633688652 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 3.81.145.168 22 35638 6 8 752 1633688635 1633688652 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 3.81.145.168 10.192.10.231 35666 22 6 20 2414 1633688635 1633688652 ACCEPT OK
